"","x"
"1","AARS1"
"2","ABAT"
"3","ABCB7"
"4","ABL1"
"5","ACACB"
"6","ACADL"
"7","ACADM"
"8","ACADS"
"9","ACADSB"
"10","ACADVL"
"11","ACAT1"
"12","ACAT2"
"13","ACO1"
"14","ACO2"
"15","ADH5"
"16","PARP1"
"17","ADSS2"
"18","AGXT"
"19","AK2"
"20","AK4"
"21","AKT1"
"22","ALAS1"
"23","ALAS2"
"24","ABCD1"
"25","ALDH2"
"26","ALDH1B1"
"27","ALPL"
"28","AMT"
"29","ANK2"
"30","SLC25A4"
"31","SLC25A5"
"32","SLC25A6"
"33","ANXA1"
"34","ANXA6"
"35","NUDT2"
"36","APEX1"
"37","AQP8"
"38","ARAF"
"39","ARG1"
"40","ARG2"
"41","ARL2"
"42","ARSB"
"43","ASS1"
"44","ATP2A1"
"45","ATP5F1A"
"46","ALDH7A1"
"47","ATP5F1B"
"48","ATP5F1C"
"49","ATP5F1D"
"50","ATP5F1E"
"51","ATP5PB"
"52","ATP5MC1"
"53","ATP5MC2"
"54","ATP5MC3"
"55","ATP5ME"
"56","ATP5PF"
"57","ATP5PO"
"58","ATP7B"
"59","AUH"
"60","BAD"
"61","BAK1"
"62","BAX"
"63","BCAT1"
"64","BCAT2"
"65","BCKDHA"
"66","BCKDHB"
"67","BCL2"
"68","BCL2A1"
"69","BCL2L1"
"70","BCL2L2"
"71","BCS1L"
"72","BDH1"
"73","BDNF"
"74","BID"
"75","BIK"
"76","BNIP1"
"77","BNIP3"
"78","BNIP3L"
"79","BOK"
"80","BPHL"
"81","BSG"
"82","BTD"
"83","TSPO"
"84","C1QBP"
"85","MRPL49"
"86","CFAP410"
"87","CA5A"
"88","SLC25A20"
"89","CALM1"
"90","CALM3"
"91","CAMK2A"
"92","CAPN1"
"93","CAPN2"
"94","CASP1"
"95","CASP2"
"96","CASP4"
"97","CASP8"
"98","CASP9"
"99","CASQ1"
"100","CAT"
"101","KYAT1"
"102","CCNB1"
"103","CDK1"
"104","CDC25C"
"105","CIDEA"
"106","CKB"
"107","CKMT1B"
"108","CKMT2"
"109","CLU"
"110","CLIC1"
"111","CCR7"
"112","CNP"
"113","CNR1"
"114","COX4I1"
